,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
0,CR7,02/03,Liga de Portugal,6,07-10-2002,H,Sporting CP,Moreirense FC,3-0,LW,34,2-0,Solo run,,0,H,Ampliar,34,1st,Q3 1st,3
1,CR7,02/03,Liga de Portugal,6,07-10-2002,H,Sporting CP,Moreirense FC,3-0,LW,90+5,3-0,Header,Rui Jorge,0,H,Ampliar,90,2nd,Q3 2nd,3
2,CR7,02/03,Liga de Portugal,8,26-10-2002,A,Sporting CP,Boavista FC,1-2,LW,88,1-2,Right-footed shot,Carlos Martins,0,A,Adelantar,88,2nd,Q3 2nd,3
3,CR7,02/03,Copa de Portugal,Fourth Round,24-11-2002,H,Sporting CP,CD Estarreja,4-1,LW,67,3-0,Left-footed shot,Cesar Prates,0,H,Ampliar,67,2nd,Q2 2nd,3
4,CR7,02/03,Copa de Portugal,Fifth Round,18-12-2002,H,Sporting CP,FC Oliveira do Hospital,8-1,LW,13,3-0,Right-footed shot,,0,H,Ampliar,13,1st,Q1 1st,3
5,CR7,03/04,Premier League,11,01-11-2003,H,Manchester United,Portsmouth FC,3-0,RW,80,2-0,Direct free kick,,0,H,Ampliar,80,2nd,Q3 2nd,4
6,CR7,03/04,FA Cup,Fifth Round,14-02-2004,H,Manchester United,Manchester City,4-2,RW,74,3-0,Right-footed shot,,0,H,Ampliar,74,2nd,Q2 2nd,4
7,CR7,03/04,Premier League,29,20-03-2004,H,Manchester United,Tottenham Hotspur,3-0,LW,89,2-0,Right-footed shot,,0,H,Ampliar,89,2nd,Q3 2nd,4
8,CR7,03/04,Premier League,32,10-04-2004,A,Manchester United,Birmingham City,1-2,LW,60,1-1,Header,Ryan Giggs,0,A,Empatar,60,2nd,Q1 2nd,4
9,CR7,03/04,Premier League,38,15-05-2004,A,Manchester United,Aston Villa,0-2,LW,4,0-1,Right-footed shot,,0,A,Adelantar,4,1st,Q1 1st,4
10,CR7,03/04,FA Cup,Final,22-05-2004,H,Manchester United,Millwall FC,3-0,RW,44,1-0,Header,Gary Neville,0,H,Adelantar,44,1st,Q3 1st,4
11,CR7,04/05,Premier League,16,04-12-2004,H,Manchester United,Southampton FC,3-0,LW,87,3-0,Right-footed shot,Gary Neville,0,H,Ampliar,87,2nd,Q3 2nd,5
12,CR7,04/05,FA Cup,Third Round,19-01-2005,A,Manchester United,Exeter City,0-2,LW,9,0-1,Right-footed shot,Paul Scholes,0,A,Adelantar,9,1st,Q1 1st,5
13,CR7,04/05,Premier League,24,22-01-2005,H,Manchester United,Aston Villa,3-1,LW,8,1-0,Right-footed shot,Louis Saha,0,H,Adelantar,8,1st,Q1 1st,5
14,CR7,04/05,Premier League,25,01-02-2005,A,Manchester United,Arsenal FC,2-4,RW,54,2-2,Left-footed shot,Ryan Giggs,0,A,Empatar,54,2nd,Q1 2nd,5
15,CR7,04/05,Premier League,25,01-02-2005,A,Manchester United,Arsenal FC,2-4,RW,58,2-3,Tap-in,Ryan Giggs,0,A,Adelantar,58,2nd,Q1 2nd,5
16,CR7,04/05,FA Cup,Fifth Round,19-02-2005,A,Manchester United,Everton FC,0-2,LW,58,0-2,Tap-in,Paul Scholes,0,A,Ampliar,58,2nd,Q1 2nd,5
17,CR7,04/05,FA Cup,Sixth Round,12-03-2005,A,Manchester United,Southampton FC,0-4,LW,45+1,0-2,Left-footed shot,Ruud van Nistelrooy,0,A,Ampliar,45,1st,Q3 1st,5
18,CR7,04/05,Premier League,30,19-03-2005,H,Manchester United,Fulham FC,1-0,LW,21,1-0,Right-footed shot,Roy Keane,0,H,Adelantar,21,1st,Q2 1st,5
19,CR7,04/05,FA Cup,Semi-Finals,17-04-2005,A,Manchester United,Newcastle United,1-4,RW,76,1-4,Right-footed shot,Ruud van Nistelrooy,0,A,Ampliar,76,2nd,Q3 2nd,5
20,Messi,04/05,LaLiga,34,01-05-2005,H,FC Barcelona,Albacete Balompie,2-0,CF,90+1,2-0,Left-footed shot,Ronaldinho Gaacho,0,H,Ampliar,90,2nd,Q3 2nd,5
21,CR7,05/06,Premier League,11,29-10-2005,A,Manchester United,Middlesbrough FC,4-1,LW,90,4-1,Header,Paul Scholes,0,H,Recortar,90,2nd,Q3 2nd,6
22,Messi,05/06,UEFA Champions League,Group Stage,02-11-2005,H,FC Barcelona,Panathinaikos Athens,5-0,RW,34,3-0,Left-footed shot,,0,H,Ampliar,34,1st,Q3 1st,6
23,Messi,05/06,LaLiga,13,27-11-2005,H,FC Barcelona,Racing Santander,4-1,RW,51,2-0,Left-footed shot,Samuel Etoo,0,H,Ampliar,51,2nd,Q1 2nd,6
24,CR7,05/06,EFL Cup,Round of 16,30-11-2005,H,Manchester United,West Bromwich Albion,3-1,RW,12,1-1,Penalty,,0,H,Empatar,12,1st,Q1 1st,6
25,CR7,05/06,Premier League,20,31-12-2005,H,Manchester United,Bolton Wanderers,4-1,LW,68,3-1,Right-footed shot,Wayne Rooney,0,H,Ampliar,68,2nd,Q2 2nd,6
26,CR7,05/06,Premier League,20,31-12-2005,H,Manchester United,Bolton Wanderers,4-1,LW,90,4-1,Left-footed shot,Ruud van Nistelrooy,0,H,Ampliar,90,2nd,Q3 2nd,6
27,Messi,05/06,LaLiga,19,15-01-2006,H,FC Barcelona,Athletic Bilbao,2-1,RW,50,2-1,Left-footed shot,Mark van Bommel,0,H,Adelantar,50,2nd,Q1 2nd,6
28,Messi,05/06,LaLiga,20,22-01-2006,H,FC Barcelona,Deportivo Alaves,2-0,CF,82,2-0,Left-footed shot,Ronaldinho Gaacho,0,H,Ampliar,82,2nd,Q3 2nd,6
29,Messi,05/06,LaLiga,21,29-01-2006,A,FC Barcelona,RCD Mallorca,0-3,CF,83,0-3,Left-footed shot,Ronaldinho Gaacho,0,A,Ampliar,83,2nd,Q3 2nd,6
30,Messi,05/06,LaLiga,21,29-01-2006,A,FC Barcelona,RCD Mallorca,0-3,CF,75,0-2,Right-footed shot,Sylvinho,0,A,Ampliar,75,2nd,Q2 2nd,6
31,Messi,05/06,Copa del Rey,Quarter-Finals,01-02-2006,H,FC Barcelona,Real Zaragoza,2-1,CF,42,1-0,Header,Ludovic Giuly,0,H,Adelantar,42,1st,Q3 1st,6
32,CR7,05/06,Premier League,25,04-02-2006,H,Manchester United,Fulham FC,4-2,LW,14,2-0,Direct free kick,,0,H,Ampliar,14,1st,Q1 1st,6
33,CR7,05/06,Premier League,25,04-02-2006,H,Manchester United,Fulham FC,4-2,LW,87,4-2,Right-footed shot,,0,H,Ampliar,87,2nd,Q3 2nd,6
34,CR7,05/06,Premier League,26,11-02-2006,A,Manchester United,Portsmouth FC,1-3,RW,38,0-2,Left-footed shot,,0,A,Ampliar,38,1st,Q3 1st,6
35,CR7,05/06,Premier League,26,11-02-2006,A,Manchester United,Portsmouth FC,1-3,RW,45,0-3,Right-footed shot,Wayne Rooney,0,A,Ampliar,45,1st,Q3 1st,6
36,Messi,05/06,LaLiga,24,18-02-2006,H,FC Barcelona,Real Betis Balompie,5-1,RW,84,5-1,Left-footed shot,,0,H,Ampliar,84,2nd,Q3 2nd,6
37,CR7,05/06,EFL Cup,Final,26-02-2006,H,Manchester United,Wigan Athletic,4-0,RW,59,3-0,Right-footed shot,Louis Saha,0,H,Ampliar,59,2nd,Q1 2nd,6
38,CR7,05/06,Premier League,28,06-03-2006,A,Manchester United,Wigan Athletic,1-2,LW,74,1-1,Right-footed shot,Ruud van Nistelrooy,0,A,Empatar,74,2nd,Q2 2nd,6
39,CR7,05/06,Premier League,38,07-05-2006,H,Manchester United,Charlton Athletic,4-0,RW,23,2-0,Left-footed shot,Ryan Giggs,0,H,Ampliar,23,1st,Q2 1st,6
40,CR7,06/07,Premier League,1,20-08-2006,H,Manchester United,Fulham FC,5-1,LW,19,4-0,Right-footed shot,Wayne Rooney,0,H,Ampliar,19,1st,Q2 1st,7
41,Messi,06/07,LaLiga,1,28-08-2006,A,FC Barcelona,Celta de Vigo,2-3,LW,59,1-2,Left-footed shot,Andres Iniesta,0,A,Adelantar,59,2nd,Q1 2nd,7
42,Messi,06/07,LaLiga,2,09-09-2006,H,FC Barcelona,CA Osasuna,3-0,RW,36,3-0,Left-footed shot,Samuel Etoo,0,H,Ampliar,36,1st,Q3 1st,7
43,CR7,06/07,Premier League,6,23-09-2006,A,Manchester United,Reading FC,1-1,CF,73,1-1,Right-footed shot,John OShea,0,D,Empatar,73,2nd,Q2 2nd,7
44,Messi,06/07,UEFA Champions League,Group Stage,27-09-2006,A,FC Barcelona,SV Werder Bremen,1-1,RW,89,1-1,Left-footed shot,Deco,0,D,Empatar,89,2nd,Q3 2nd,7
45,Messi,06/07,LaLiga,6,15-10-2006,H,FC Barcelona,Sevilla FC,3-1,RW,80,3-1,Right-footed shot,Xavi,0,H,Ampliar,80,2nd,Q3 2nd,7
46,CR7,06/07,Premier League,10,28-10-2006,A,Manchester United,Bolton Wanderers,0-4,LW,82,0-3,Right-footed shot,Louis Saha,0,A,Ampliar,82,2nd,Q3 2nd,7
47,CR7,06/07,Premier League,11,04-11-2006,H,Manchester United,Portsmouth FC,3-0,RW,10,2-0,Direct free kick,,0,H,Ampliar,10,1st,Q1 1st,7
48,CR7,06/07,Premier League,15,29-11-2006,H,Manchester United,Everton FC,3-0,LW,39,1-0,Right-footed shot,,0,H,Adelantar,39,1st,Q3 1st,7
49,CR7,06/07,Premier League,17,09-12-2006,H,Manchester United,Manchester City,3-1,LW,84,3-1,Right-footed shot,,0,H,Ampliar,84,2nd,Q3 2nd,7
50,CR7,06/07,Premier League,19,23-12-2006,A,Manchester United,Aston Villa,0-3,LW,85,0-3,Right-footed shot,Gary Neville,0,A,Ampliar,85,2nd,Q3 2nd,7
51,CR7,06/07,Premier League,19,23-12-2006,A,Manchester United,Aston Villa,0-3,LW,58,0-1,Right-footed shot,,0,A,Adelantar,58,2nd,Q1 2nd,7
52,CR7,06/07,Premier League,20,26-12-2006,H,Manchester United,Wigan Athletic,3-1,LW,50,2-0,Penalty rebound,Ji-sung Park,0,H,Ampliar,50,2nd,Q1 2nd,7
53,CR7,06/07,Premier League,20,26-12-2006,H,Manchester United,Wigan Athletic,3-1,LW,47,1-0,Right-footed shot,Paul Scholes,0,H,Adelantar,47,2nd,Q1 2nd,7
54,CR7,06/07,Premier League,21,30-12-2006,H,Manchester United,Reading FC,3-2,RW,58,2-1,Right-footed shot,Ole Gunnar Solskjaer,0,H,Adelantar,58,2nd,Q1 2nd,7
55,CR7,06/07,Premier League,21,30-12-2006,H,Manchester United,Reading FC,3-2,RW,77,3-1,Right-footed shot,Ryan Giggs,0,H,Ampliar,77,2nd,Q3 2nd,7
56,CR7,06/07,Premier League,23,13-01-2007,H,Manchester United,Aston Villa,3-1,LW,34,3-0,Header,Michael Carrick,0,H,Ampliar,34,1st,Q3 1st,7
57,CR7,06/07,Premier League,25,31-01-2007,H,Manchester United,Watford FC,4-0,RW,12,1-0,Penalty,,0,H,Adelantar,12,1st,Q1 1st,7
58,CR7,06/07,Premier League,26,03-02-2007,A,Manchester United,Tottenham Hotspur,0-4,RW,45,0-1,Penalty,,0,A,Adelantar,45,1st,Q3 1st,7
59,CR7,06/07,Premier League,28,24-02-2007,A,Manchester United,Fulham FC,1-2,LW,88,1-2,Solo run,,0,A,Adelantar,88,2nd,Q3 2nd,7
60,CR7,06/07,FA Cup,Sixth Round,10-03-2007,A,Manchester United,Middlesbrough FC,2-2,RW,68,2-2,Penalty,,0,D,Empatar,68,2nd,Q2 2nd,7
61,Messi,06/07,LaLiga,26,10-03-2007,H,FC Barcelona,Real Madrid,3-3,RW,90+1,3-3,Left-footed shot,Ronaldinho Gaacho,0,D,Empatar,90,2nd,Q3 2nd,7
62,Messi,06/07,LaLiga,26,10-03-2007,H,FC Barcelona,Real Madrid,3-3,RW,11,1-1,Left-footed shot,Samuel Etoo,0,D,Empatar,11,1st,Q1 1st,7
63,Messi,06/07,LaLiga,26,10-03-2007,H,FC Barcelona,Real Madrid,3-3,RW,28,2-2,Left-footed shot,,0,D,Empatar,28,1st,Q2 1st,7
64,Messi,06/07,LaLiga,27,17-03-2007,A,FC Barcelona,Recreativo Huelva,0-4,RW,86,0-4,Left-footed shot,,0,A,Ampliar,86,2nd,Q3 2nd,7
65,CR7,06/07,FA Cup,Sixth Round,19-03-2007,H,Manchester United,Middlesbrough FC,1-0,LW,76,1-0,Penalty,,0,H,Adelantar,76,2nd,Q3 2nd,7
66,Messi,06/07,LaLiga,28,31-03-2007,H,FC Barcelona,Deportivo de La Coruaa,2-1,RW,45,1-0,Left-footed shot,Ronaldinho Gaacho,0,H,Adelantar,45,1st,Q3 1st,7
67,CR7,06/07,UEFA Champions League,Quarter-Finals,10-04-2007,H,Manchester United,AS Roma,7-1,RW,44,4-0,Right-footed shot,Ryan Giggs,0,H,Ampliar,44,1st,Q3 1st,7
68,CR7,06/07,UEFA Champions League,Quarter-Finals,10-04-2007,H,Manchester United,AS Roma,7-1,RW,49,5-0,Right-footed shot,Ryan Giggs,0,H,Ampliar,49,2nd,Q1 2nd,7
69,CR7,06/07,FA Cup,Semi-Finals,14-04-2007,A,Manchester United,Watford FC,1-4,LW,28,1-2,Right-footed shot,Wayne Rooney,0,A,Adelantar,28,1st,Q2 1st,7
70,Messi,06/07,Copa del Rey,Semi-Finals,18-04-2007,H,FC Barcelona,Getafe CF,5-2,RW,29,2-0,Solo run,Xavi,0,H,Ampliar,29,1st,Q2 1st,7
71,Messi,06/07,Copa del Rey,Semi-Finals,18-04-2007,H,FC Barcelona,Getafe CF,5-2,RW,45,3-0,Left-footed shot,Deco,0,H,Ampliar,45,1st,Q3 1st,7
72,CR7,06/07,UEFA Champions League,Semi-Finals,24-04-2007,H,Manchester United,AC Milan,3-2,RW,5,1-0,Header,Ryan Giggs,0,H,Adelantar,5,1st,Q1 1st,7
73,CR7,06/07,Premier League,37,05-05-2007,A,Manchester United,Manchester City,0-1,RW,34,0-1,Penalty,,0,A,Adelantar,34,1st,Q3 1st,7
74,Messi,06/07,LaLiga,35,20-05-2007,A,FC Barcelona,Atletico de Madrid,0-6,RW,39,0-1,Left-footed shot,Samuel Etoo,0,A,Adelantar,39,1st,Q3 1st,7
75,Messi,06/07,LaLiga,35,20-05-2007,A,FC Barcelona,Atletico de Madrid,0-6,RW,80,0-5,Left-footed shot,Giovanni van Bronckhorst,0,A,Ampliar,80,2nd,Q3 2nd,7
76,Messi,06/07,LaLiga,37,09-06-2007,H,FC Barcelona,RCD Espanyol Barcelona,2-2,RW,43,1-1,Left-footed shot,Gianluca Zambrotta,0,D,Empatar,43,1st,Q3 1st,7
77,Messi,06/07,LaLiga,37,09-06-2007,H,FC Barcelona,RCD Espanyol Barcelona,2-2,RW,57,2-1,Right-footed shot,Deco,0,D,Adelantar,57,2nd,Q1 2nd,7
78,Messi,06/07,LaLiga,38,17-06-2007,A,FC Barcelona,Gimnastic de Tarragona,1-5,RW,34,0-2,Left-footed shot,Deco,0,A,Ampliar,34,1st,Q3 1st,7
79,Messi,06/07,LaLiga,38,17-06-2007,A,FC Barcelona,Gimnastic de Tarragona,1-5,RW,51,0-4,Left-footed shot,Deco,0,A,Ampliar,51,2nd,Q1 2nd,7
80,Messi,07/08,UEFA Champions League,Group Stage,19-09-2007,H,FC Barcelona,Olympique Lyon,3-0,RW,82,2-0,Left-footed shot,Andres Iniesta,0,H,Ampliar,82,2nd,Q3 2nd,8
81,CR7,07/08,UEFA Champions League,Group Stage,19-09-2007,A,Manchester United,Sporting CP,0-1,RW,62,0-1,Header,Wes Brown,0,A,Adelantar,62,2nd,Q2 2nd,8
82,Messi,07/08,LaLiga,4,22-09-2007,H,FC Barcelona,Sevilla FC,2-1,RW,72,1-0,Left-footed shot,Thierry Henry,0,H,Adelantar,72,2nd,Q2 2nd,8
83,Messi,07/08,LaLiga,4,22-09-2007,H,FC Barcelona,Sevilla FC,2-1,RW,79,2-0,Penalty,,0,H,Ampliar,79,2nd,Q3 2nd,8
84,Messi,07/08,LaLiga,5,26-09-2007,H,FC Barcelona,Real Zaragoza,4-1,RW,10,2-1,Left-footed shot,Deco,0,H,Adelantar,10,1st,Q1 1st,8
85,Messi,07/08,LaLiga,5,26-09-2007,H,FC Barcelona,Real Zaragoza,4-1,RW,5,1-0,Left-footed shot,Thierry Henry,0,H,Adelantar,5,1st,Q1 1st,8
86,CR7,07/08,Premier League,8,29-09-2007,A,Manchester United,Birmingham City,0-1,RW,51,0-1,Right-footed shot,,0,A,Adelantar,51,2nd,Q1 2nd,8
87,Messi,07/08,LaLiga,6,29-09-2007,A,FC Barcelona,Levante UD,1-4,RW,50,0-4,Left-footed shot,Deco,0,A,Ampliar,50,2nd,Q1 2nd,8
88,Messi,07/08,UEFA Champions League,Group Stage,02-10-2007,A,FC Barcelona,VfB Stuttgart,0-2,RW,66,0-2,Deflected shot on goal,Thierry Henry,0,A,Ampliar,66,2nd,Q2 2nd,8
89,CR7,07/08,Premier League,9,06-10-2007,H,Manchester United,Wigan Athletic,4-0,RW,76,3-0,Right-footed shot,Wayne Rooney,0,H,Ampliar,76,2nd,Q3 2nd,8
90,CR7,07/08,Premier League,9,06-10-2007,H,Manchester United,Wigan Athletic,4-0,RW,59,2-0,Header,Ryan Giggs,0,H,Ampliar,59,2nd,Q1 2nd,8
91,Messi,07/08,LaLiga,7,07-10-2007,H,FC Barcelona,Atletico de Madrid,3-0,RW,19,2-0,Left-footed shot,Ronaldinho Gaacho,0,H,Ampliar,19,1st,Q2 1st,8
92,CR7,07/08,UEFA Champions League,Group Stage,23-10-2007,A,Manchester United,Dynamo Kyiv,2-4,RW,41,1-3,Penalty,,0,A,Ampliar,41,1st,Q3 1st,8
93,CR7,07/08,UEFA Champions League,Group Stage,23-10-2007,A,Manchester United,Dynamo Kyiv,2-4,RW,68,1-4,Header,Ryan Giggs,0,A,Ampliar,68,2nd,Q2 2nd,8
94,Messi,07/08,LaLiga,9,28-10-2007,H,FC Barcelona,UD Almera,2-0,RW,80,2-0,Penalty,,0,H,Ampliar,80,2nd,Q3 2nd,8
95,CR7,07/08,Premier League,12,03-11-2007,A,Manchester United,Arsenal FC,2-2,RW,82,1-2,Right-footed shot,Patrice Evra,0,D,Adelantar,82,2nd,Q3 2nd,8
96,CR7,07/08,UEFA Champions League,Group Stage,07-11-2007,H,Manchester United,Dynamo Kyiv,4-0,RW,88,4-0,Right-footed shot,Patrice Evra,0,H,Ampliar,88,2nd,Q3 2nd,8
97,Messi,07/08,UEFA Champions League,Group Stage,07-11-2007,H,FC Barcelona,Rangers FC,2-0,RW,41,2-0,Left-footed shot,Ronaldinho Gaacho,0,H,Ampliar,41,1st,Q3 1st,8
98,CR7,07/08,Premier League,13,11-11-2007,H,Manchester United,Blackburn Rovers,2-0,RW,34,1-0,Header,Ryan Giggs,0,H,Adelantar,34,1st,Q3 1st,8
99,CR7,07/08,Premier League,13,11-11-2007,H,Manchester United,Blackburn Rovers,2-0,RW,35,2-0,Right-footed shot,Carlos Tevez,0,H,Ampliar,35,1st,Q3 1st,8
100,Messi,07/08,LaLiga,13,24-11-2007,H,FC Barcelona,Recreativo Huelva,3-0,RW,81,3-0,Penalty,,0,H,Ampliar,81,2nd,Q3 2nd,8
101,CR7,07/08,UEFA Champions League,Group Stage,27-11-2007,H,Manchester United,Sporting CP,2-1,RW,90+3,2-1,Direct free kick,,0,H,Adelantar,90,2nd,Q3 2nd,8
102,Messi,07/08,UEFA Champions League,Group Stage,27-11-2007,A,FC Barcelona,Olympique Lyon,2-2,RW,58,1-2,Penalty,,0,D,Adelantar,58,2nd,Q1 2nd,8
103,CR7,07/08,Premier League,15,03-12-2007,H,Manchester United,Fulham FC,2-0,LW,10,1-0,Right-footed shot,Nemanja Vidicâ€Ž,0,H,Adelantar,10,1st,Q1 1st,8
104,CR7,07/08,Premier League,15,03-12-2007,H,Manchester United,Fulham FC,2-0,LW,58,2-0,Header,John OShea,0,H,Ampliar,58,2nd,Q1 2nd,8
105,CR7,07/08,Premier League,16,08-12-2007,H,Manchester United,Derby County,4-1,LW,90,4-1,Penalty,,0,H,Ampliar,90,2nd,Q3 2nd,8
106,CR7,07/08,Premier League,18,23-12-2007,H,Manchester United,Everton FC,2-1,RW,22,1-0,Left-footed shot,Carlos Tevez,0,H,Adelantar,22,1st,Q2 1st,8
107,CR7,07/08,Premier League,18,23-12-2007,H,Manchester United,Everton FC,2-1,RW,87,2-1,Penalty,,0,H,Adelantar,87,2nd,Q3 2nd,8
108,CR7,07/08,Premier League,19,26-12-2007,A,Manchester United,Sunderland AFC,0-4,LW,45,0-3,Direct free kick,,0,A,Ampliar,45,1st,Q3 1st,8
109,CR7,07/08,Premier League,20,29-12-2007,A,Manchester United,West Ham United,2-1,RW,14,0-1,Header,Ryan Giggs,0,H,Adelantar,14,1st,Q1 1st,8
110,CR7,07/08,FA Cup,Third Round,05-01-2008,A,Manchester United,Aston Villa,0-2,LW,81,0-1,Left-footed shot,Ryan Giggs,0,A,Adelantar,81,2nd,Q3 2nd,8
111,CR7,07/08,Premier League,22,12-01-2008,H,Manchester United,Newcastle United,6-0,RW,88,5-0,Left-footed shot,,0,H,Ampliar,88,2nd,Q3 2nd,8
112,CR7,07/08,Premier League,22,12-01-2008,H,Manchester United,Newcastle United,6-0,RW,70,3-0,Right-footed shot,Carlos Tevez,0,H,Ampliar,70,2nd,Q2 2nd,8
113,CR7,07/08,Premier League,22,12-01-2008,H,Manchester United,Newcastle United,6-0,RW,48,1-0,Direct free kick,,0,H,Adelantar,48,2nd,Q1 2nd,8
114,CR7,07/08,Premier League,23,19-01-2008,A,Manchester United,Reading FC,0-2,RW,90+2,0-2,Right-footed shot,,0,A,Ampliar,90,2nd,Q3 2nd,8
115,CR7,07/08,FA Cup,Fourth Round,27-01-2008,H,Manchester United,Tottenham Hotspur,3-1,RW,69,2-1,Penalty,,0,H,Adelantar,69,2nd,Q2 2nd,8
116,CR7,07/08,FA Cup,Fourth Round,27-01-2008,H,Manchester United,Tottenham Hotspur,3-1,RW,88,3-1,Right-footed shot,Ryan Giggs,0,H,Ampliar,88,2nd,Q3 2nd,8
117,CR7,07/08,Premier League,24,30-01-2008,H,Manchester United,Portsmouth FC,2-0,RW,10,1-0,Right-footed shot,Nani,0,H,Adelantar,10,1st,Q1 1st,8
118,CR7,07/08,Premier League,24,30-01-2008,H,Manchester United,Portsmouth FC,2-0,RW,12,2-0,Direct free kick,,0,H,Ampliar,12,1st,Q1 1st,8
119,Messi,07/08,UEFA Champions League,Round of 16,20-02-2008,A,FC Barcelona,Celtic FC,2-3,RW,18,1-1,Left-footed shot,Deco,0,A,Empatar,18,1st,Q2 1st,8
120,Messi,07/08,UEFA Champions League,Round of 16,20-02-2008,A,FC Barcelona,Celtic FC,2-3,RW,79,2-3,Left-footed shot,,0,A,Adelantar,79,2nd,Q3 2nd,8
121,CR7,07/08,Premier League,27,23-02-2008,A,Manchester United,Newcastle United,1-5,RW,45,0-2,Right-footed shot,Michael Carrick,0,A,Ampliar,45,1st,Q3 1st,8
122,CR7,07/08,Premier League,27,23-02-2008,A,Manchester United,Newcastle United,1-5,RW,56,0-3,Right-footed shot,,0,A,Ampliar,56,2nd,Q1 2nd,8
123,Messi,07/08,LaLiga,25,24-02-2008,H,FC Barcelona,Levante UD,5-1,RW,44,2-1,Left-footed shot,Xavi,0,H,Adelantar,44,1st,Q3 1st,8
124,CR7,07/08,UEFA Champions League,Round of 16,04-03-2008,H,Manchester United,Olympique Lyon,1-0,RW,41,1-0,Left-footed shot,,0,H,Adelantar,41,1st,Q3 1st,8
125,CR7,07/08,Premier League,29,15-03-2008,A,Manchester United,Derby County,0-1,LW,76,0-1,Right-footed shot,Wayne Rooney,0,A,Adelantar,76,2nd,Q3 2nd,8
126,CR7,07/08,Premier League,30,19-03-2008,H,Manchester United,Bolton Wanderers,2-0,LW,8,1-0,Right-footed shot,,0,H,Adelantar,8,1st,Q1 1st,8
127,CR7,07/08,Premier League,30,19-03-2008,H,Manchester United,Bolton Wanderers,2-0,LW,19,2-0,Direct free kick,,0,H,Ampliar,19,1st,Q2 1st,8
128,CR7,07/08,Premier League,31,23-03-2008,H,Manchester United,Liverpool FC,3-0,RW,79,2-0,Header,Nani,0,H,Ampliar,79,2nd,Q3 2nd,8
129,CR7,07/08,Premier League,32,29-03-2008,H,Manchester United,Aston Villa,4-0,RW,16,1-0,Right-footed shot,,0,H,Adelantar,16,1st,Q2 1st,8
130,CR7,07/08,UEFA Champions League,Quarter-Finals,01-04-2008,A,Manchester United,AS Roma,0-2,RW,39,0-1,Header,Paul Scholes,0,A,Adelantar,39,1st,Q3 1st,8
131,CR7,07/08,Premier League,33,06-04-2008,A,Manchester United,Middlesbrough FC,2-2,RW,9,0-1,Left-footed shot,Michael Carrick,0,D,Adelantar,9,1st,Q1 1st,8
132,CR7,07/08,Premier League,34,13-04-2008,H,Manchester United,Arsenal FC,2-1,RW,53,1-1,Penalty,,0,H,Empatar,53,2nd,Q1 2nd,8
133,CR7,07/08,Premier League,37,03-05-2008,H,Manchester United,West Ham United,4-1,RW,3,1-0,Right-footed shot,Edwin van der Sar,0,H,Adelantar,3,1st,Q1 1st,8
134,CR7,07/08,Premier League,37,03-05-2008,H,Manchester United,West Ham United,4-1,RW,24,2-0,Right-footed shot,Owen Hargreaves,0,H,Ampliar,24,1st,Q2 1st,8
135,Messi,07/08,LaLiga,35,04-05-2008,H,FC Barcelona,Valencia CF,6-0,RW,5,1-0,Penalty,,0,H,Adelantar,5,1st,Q1 1st,8
136,CR7,07/08,Premier League,38,11-05-2008,A,Manchester United,Wigan Athletic,0-2,RW,32,0-1,Penalty,,0,A,Adelantar,32,1st,Q3 1st,8
137,CR7,07/08,UEFA Champions League,Final,21-05-2008,H,Manchester United,Chelsea FC,6-5 ,LW,26,1-0,Header,Wes Brown,1,H,Adelantar,26,1st,Q2 1st,8
138,Messi,08/09,LaLiga,2,13-09-2008,H,FC Barcelona,Racing Santander,1-1,RW,70,1-0,Penalty,,0,D,Adelantar,70,2nd,Q2 2nd,9
139,Messi,08/09,LaLiga,3,21-09-2008,A,FC Barcelona,Sporting GijÃ³n,1-6,RW,85,1-5,Left-footed shot,Andres Iniesta,0,A,Ampliar,85,2nd,Q3 2nd,9
140,Messi,08/09,LaLiga,3,21-09-2008,A,FC Barcelona,Sporting GijÃ³n,1-6,RW,89,1-6,Header,Xavi,0,A,Ampliar,89,2nd,Q3 2nd,9
141,CR7,08/09,EFL Cup,Third Round,23-09-2008,H,Manchester United,Middlesbrough FC,3-1,LW,25,1-0,Header,Ryan Giggs,0,H,Adelantar,25,1st,Q2 1st,9
142,CR7,08/09,Premier League,6,27-09-2008,H,Manchester United,Bolton Wanderers,2-0,RW,59,1-0,Penalty,,0,H,Adelantar,59,2nd,Q1 2nd,9
143,Messi,08/09,LaLiga,5,27-09-2008,A,FC Barcelona,RCD Espanyol Barcelona,1-2,RW,90,1-2,Penalty,,0,A,Adelantar,90,2nd,Q3 2nd,9
144,Messi,08/09,UEFA Champions League,Group Stage,01-10-2008,A,FC Barcelona,Shakhtar Donetsk,1-2,RW,90+2,1-2,Left-footed shot,Xavi,0,A,Adelantar,90,2nd,Q3 2nd,9
145,Messi,08/09,UEFA Champions League,Group Stage,01-10-2008,A,FC Barcelona,Shakhtar Donetsk,1-2,RW,87,1-1,Right-footed shot,Bojan Krkic,0,A,Empatar,87,2nd,Q3 2nd,9
146,Messi,08/09,LaLiga,6,04-10-2008,H,FC Barcelona,Atletico de Madrid,6-1,RW,8,3-0,Direct free kick,,0,H,Ampliar,8,1st,Q1 1st,9
